SITE,DATE,HORA,PM10
Bolivia,16/08/2013,16,51
Bolivia,16/08/2013,17,51
Bolivia,16/08/2013,18,51
Bolivia,16/08/2013,19,51
Bolivia,16/08/2013,20,51
Bolivia,16/08/2013,21,0
Bolivia,16/08/2013,22,52
Bolivia,16/08/2013,23,53
Bolivia,16/08/2013,24,54
Bolivia,17/08/2013,1,54
Bolivia,17/08/2013,2,54
Bolivia,17/08/2013,3,54
Bolivia,17/08/2013,4,54
Bolivia,17/08/2013,5,54
Bolivia,17/08/2013,6,54
Bolivia,17/08/2013,7,54
Bolivia,17/08/2013,8,53
Bolivia,17/08/2013,9,51
Bolivia,17/08/2013,10,51
Bolivia,17/08/2013,11,52
Bolivia,17/08/2013,12,51
Bolivia,17/08/2013,13,51
Bolivia,17/08/2013,14,51
Bolivia,17/08/2013,15,51
Bolivia,17/08/2013,16,56
Bolivia,17/08/2013,17,54
Bolivia,17/08/2013,18,58
Bolivia,17/08/2013,19,51
Bolivia,17/08/2013,20,50
Bolivia,17/08/2013,21,48
Bolivia,17/08/2013,22,47
Bolivia,17/08/2013,23,46
Bolivia,17/08/2013,24,45
Bolivia,18/08/2013,1,46
Bolivia,18/08/2013,2,47
Bolivia,18/08/2013,3,48
Bolivia,18/08/2013,4,51
Bolivia,18/08/2013,5,52
Bolivia,18/08/2013,6,53
Bolivia,18/08/2013,7,53
Bolivia,18/08/2013,8,52
Bolivia,18/08/2013,9,52
Bolivia,18/08/2013,10,52
Bolivia,18/08/2013,11,51
Bolivia,18/08/2013,12,51
Bolivia,18/08/2013,13,49
Bolivia,18/08/2013,14,55
Bolivia,18/08/2013,15,50
Bolivia,18/08/2013,16,48
Bolivia,18/08/2013,17,48
Bolivia,18/08/2013,18,47
Bolivia,18/08/2013,19,47
Bolivia,18/08/2013,20,48
Bolivia,18/08/2013,21,49
Bolivia,18/08/2013,22,50
Bolivia,18/08/2013,23,50
Bolivia,18/08/2013,24,50
Bolivia,19/08/2013,1,50
Bolivia,19/08/2013,2,50
Bolivia,19/08/2013,3,50
Bolivia,19/08/2013,4,46
Bolivia,19/08/2013,5,45
Bolivia,19/08/2013,6,43
Bolivia,19/08/2013,7,44
Bolivia,19/08/2013,8,45
Bolivia,19/08/2013,9,48
Bolivia,19/08/2013,10,50
Bolivia,19/08/2013,11,52
Bolivia,19/08/2013,12,52
Bolivia,19/08/2013,13,52
Bolivia,19/08/2013,14,52
Bolivia,19/08/2013,15,51
Bolivia,19/08/2013,16,51
Bolivia,19/08/2013,17,51
Bolivia,19/08/2013,18,51
Bolivia,19/08/2013,19,51
Bolivia,19/08/2013,20,50
Bolivia,19/08/2013,21,50
Bolivia,19/08/2013,22,49
Bolivia,19/08/2013,23,47
Bolivia,19/08/2013,24,46
Bolivia,20/08/2013,1,45
Bolivia,20/08/2013,2,44
Bolivia,20/08/2013,3,42
Bolivia,20/08/2013,4,41
Bolivia,20/08/2013,5,40
Bolivia,20/08/2013,6,40
Bolivia,20/08/2013,7,39
Bolivia,20/08/2013,8,39
Bolivia,20/08/2013,9,37
Bolivia,20/08/2013,10,36
Bolivia,20/08/2013,11,33
Bolivia,20/08/2013,12,40
Bolivia,20/08/2013,13,42
Bolivia,20/08/2013,14,53
Bolivia,20/08/2013,15,45
Bolivia,20/08/2013,16,63
Bolivia,20/08/2013,17,62
Bolivia,20/08/2013,18,65
Bolivia,20/08/2013,19,46
Bolivia,20/08/2013,20,46
Bolivia,20/08/2013,21,45
Bolivia,20/08/2013,22,45
Bolivia,20/08/2013,23,46
Bolivia,20/08/2013,24,45
Bolivia,21/08/2013,1,47
Bolivia,21/08/2013,2,47
Bolivia,21/08/2013,3,48
Bolivia,21/08/2013,4,50
Bolivia,21/08/2013,5,50
Bolivia,21/08/2013,6,50
Bolivia,21/08/2013,7,51
Bolivia,21/08/2013,8,51
Bolivia,21/08/2013,9,51
Bolivia,21/08/2013,10,51
Bolivia,21/08/2013,11,51
Bolivia,21/08/2013,12,47
Bolivia,21/08/2013,13,46
Bolivia,21/08/2013,14,48
Bolivia,21/08/2013,15,46
Bolivia,21/08/2013,16,52
Bolivia,21/08/2013,17,46
Bolivia,21/08/2013,18,48
Bolivia,21/08/2013,19,47
Bolivia,21/08/2013,20,48
Bolivia,21/08/2013,21,51
Bolivia,21/08/2013,22,52
Bolivia,21/08/2013,23,53
Bolivia,21/08/2013,24,54
Bolivia,22/08/2013,1,54
Bolivia,22/08/2013,2,55
Bolivia,22/08/2013,3,0
Bolivia,22/08/2013,4,55
Bolivia,22/08/2013,5,56
Bolivia,22/08/2013,6,0
Bolivia,22/08/2013,7,0
Bolivia,22/08/2013,8,0
Bolivia,22/08/2013,9,0
Bolivia,22/08/2013,10,0
Bolivia,22/08/2013,11,0
Bolivia,22/08/2013,12,0
Bolivia,22/08/2013,13,56
Bolivia,22/08/2013,14,56
Bolivia,22/08/2013,15,56
Bolivia,22/08/2013,16,56
Bolivia,22/08/2013,17,56
Bolivia,22/08/2013,18,56
Bolivia,22/08/2013,19,0
Bolivia,22/08/2013,20,56
Bolivia,22/08/2013,21,55
Bolivia,22/08/2013,22,55
Bolivia,22/08/2013,23,54
Bolivia,22/08/2013,24,54
Bolivia,23/08/2013,1,54
Bolivia,23/08/2013,2,53
Bolivia,23/08/2013,3,53
Bolivia,23/08/2013,4,53
Bolivia,23/08/2013,5,52
Bolivia,23/08/2013,6,52
Bolivia,23/08/2013,7,51
Bolivia,23/08/2013,8,0
Bolivia,23/08/2013,9,0
Bolivia,23/08/2013,10,51
Bolivia,23/08/2013,11,51
Bolivia,23/08/2013,12,0
Bolivia,23/08/2013,13,50
Bolivia,23/08/2013,14,49
Bolivia,23/08/2013,15,49
Bolivia,23/08/2013,16,48
Bolivia,23/08/2013,17,47
Bolivia,23/08/2013,18,47
Bolivia,23/08/2013,19,47
Bolivia,23/08/2013,20,46
Bolivia,23/08/2013,21,46
Bolivia,23/08/2013,22,46
Bolivia,23/08/2013,23,47
Bolivia,23/08/2013,24,47
Bolivia,24/08/2013,1,47
Bolivia,24/08/2013,2,47
Bolivia,24/08/2013,3,47
Bolivia,24/08/2013,4,46
Bolivia,24/08/2013,5,45
Bolivia,24/08/2013,6,46
Bolivia,24/08/2013,7,48
Bolivia,24/08/2013,8,50
Bolivia,24/08/2013,9,51
Bolivia,24/08/2013,10,52
Bolivia,24/08/2013,11,53
Bolivia,24/08/2013,12,54
Bolivia,24/08/2013,13,54
Bolivia,24/08/2013,14,55
Bolivia,24/08/2013,15,55
Bolivia,24/08/2013,16,56
Bolivia,24/08/2013,17,62
Bolivia,24/08/2013,18,57
Bolivia,24/08/2013,19,57
Bolivia,24/08/2013,20,58
Bolivia,24/08/2013,21,58
Bolivia,24/08/2013,22,58
Bolivia,24/08/2013,23,58
Bolivia,24/08/2013,24,58
Bolivia,25/08/2013,1,58
Bolivia,25/08/2013,2,59
Bolivia,25/08/2013,3,59
Bolivia,25/08/2013,4,58
Bolivia,25/08/2013,5,58
Bolivia,25/08/2013,6,58
Bolivia,25/08/2013,7,58
Bolivia,25/08/2013,8,58
Bolivia,25/08/2013,9,57
Bolivia,25/08/2013,10,57
Bolivia,25/08/2013,11,57
Bolivia,25/08/2013,12,58
Bolivia,25/08/2013,13,57
Bolivia,25/08/2013,14,58
Bolivia,25/08/2013,15,58
Bolivia,25/08/2013,16,57
Bolivia,25/08/2013,17,57
Bolivia,25/08/2013,18,57
Bolivia,25/08/2013,19,57
Bolivia,25/08/2013,20,57
Bolivia,25/08/2013,21,58
Bolivia,25/08/2013,22,58
Bolivia,25/08/2013,23,59
Bolivia,25/08/2013,24,59
Bolivia,26/08/2013,1,59
Bolivia,26/08/2013,2,59
Bolivia,26/08/2013,3,60
Bolivia,26/08/2013,4,60
Bolivia,26/08/2013,5,60
Bolivia,26/08/2013,6,61
Bolivia,26/08/2013,7,60
Bolivia,26/08/2013,8,60
Bolivia,26/08/2013,9,60
Bolivia,26/08/2013,10,60
Bolivia,26/08/2013,11,59
Bolivia,26/08/2013,12,59
Bolivia,26/08/2013,13,59
Bolivia,26/08/2013,14,59
Bolivia,26/08/2013,15,59
Bolivia,26/08/2013,16,59
Bolivia,26/08/2013,17,59
Bolivia,26/08/2013,18,59
Bolivia,26/08/2013,19,59
Bolivia,26/08/2013,20,59
Bolivia,26/08/2013,21,59
Bolivia,26/08/2013,22,58
Bolivia,26/08/2013,23,57
Bolivia,26/08/2013,24,57
Bolivia,27/08/2013,1,56
Bolivia,27/08/2013,2,55
Bolivia,27/08/2013,3,55
Bolivia,27/08/2013,4,54
Bolivia,27/08/2013,5,54
Bolivia,27/08/2013,6,53
Bolivia,27/08/2013,7,53
Bolivia,27/08/2013,8,53
Bolivia,27/08/2013,9,53
Bolivia,27/08/2013,10,54
Bolivia,27/08/2013,11,54
Bolivia,27/08/2013,12,54
Bolivia,27/08/2013,13,54
Bolivia,27/08/2013,14,54
Bolivia,27/08/2013,15,0
Bolivia,27/08/2013,16,55
Bolivia,27/08/2013,17,55
Bolivia,27/08/2013,18,55
Bolivia,27/08/2013,19,56
Bolivia,27/08/2013,20,56
Bolivia,27/08/2013,21,58
Bolivia,27/08/2013,22,59
Bolivia,27/08/2013,23,60
Bolivia,27/08/2013,24,61
Bolivia,28/08/2013,1,63
Bolivia,28/08/2013,2,63
Bolivia,28/08/2013,3,64
Bolivia,28/08/2013,4,65
Bolivia,28/08/2013,5,66
Bolivia,28/08/2013,6,66
Bolivia,28/08/2013,7,67
Bolivia,28/08/2013,8,68
Bolivia,28/08/2013,9,68
Bolivia,28/08/2013,10,68
Bolivia,28/08/2013,11,68
Bolivia,28/08/2013,12,68
Bolivia,28/08/2013,13,69
Bolivia,28/08/2013,14,70
Bolivia,28/08/2013,15,70
Bolivia,28/08/2013,16,70
Bolivia,28/08/2013,17,70
Bolivia,28/08/2013,18,71
Bolivia,28/08/2013,19,71
Bolivia,28/08/2013,20,72
Bolivia,28/08/2013,21,72
Bolivia,28/08/2013,22,72
Bolivia,28/08/2013,23,72
Bolivia,28/08/2013,24,73
Bolivia,29/08/2013,1,72
Bolivia,29/08/2013,2,71
Bolivia,29/08/2013,3,71
